Date,CompanyName,Open,High,Low,Close,Volume
20160308,fis,59.283,59.513,58.885,58.935,1277850.322
20160308,fisv,96.290,96.810,95.740,95.830,1044726.000
20160308,fitb,16.900,16.970,16.590,16.630,7133975.000
20160308,fl,62.130,64.000,62.030,63.450,3102529.000
20160308,flir,32.170,32.250,31.470,31.560,671521.000
20160308,flr,51.300,51.685,50.365,51.000,2942643.000
20160308,fls,44.919,44.948,43.813,43.843,1453463.059
20160308,fmc,40.370,40.590,38.210,38.690,1330412.000
20160308,fosl,50.590,50.860,48.910,49.185,1027191.000
20160308,fox,27.960,28.120,27.670,27.840,3240526.000
20160308,foxa,27.790,27.900,27.380,27.450,9796779.000
20160308,frt,148.468,149.333,147.753,148.895,388955.339
20160308,fslr,68.450,69.190,66.581,66.880,1695863.000
20160308,fti,26.390,26.390,23.990,24.350,7118029.000
20160308,ftr,5.653,5.673,5.417,5.545,20281506.034
20160308,gas,64.650,64.900,64.510,64.680,528795.000
20160308,gd,131.280,132.270,130.740,131.370,1501686.000
20160308,ge,30.080,30.220,29.970,30.070,26436231.000
20160308,ggp,28.270,28.390,27.960,28.090,2460688.000
20160308,ghc,485.100,495.290,480.760,493.410,35476.000
20160308,gild,89.081,89.966,87.926,88.275,9963999.960
20160308,gis,59.330,60.100,59.200,59.940,2805134.000
20160308,glw,19.570,19.570,19.020,19.040,8349755.000
20160308,gm,31.011,31.011,30.083,30.290,15703499.980
20160308,gme,30.890,30.990,29.810,30.120,2123316.000
20160308,gnw,2.950,3.040,2.700,2.740,8941113.000
20160308,goog,689.420,703.910,685.253,693.980,2028434.000
20160308,googl,708.390,722.300,704.000,713.540,2316152.000
20160308,gpc,94.020,94.630,93.670,93.880,516810.000
20160308,gps,29.780,30.309,29.590,29.690,9427455.000
20160308,gra,71.010,71.300,69.920,70.440,849977.000
20160308,grmn,39.283,39.312,38.347,38.386,1275819.883
20160308,gs,154.000,154.289,151.500,151.540,3523241.000
20160308,gt,32.200,32.490,31.870,32.235,4150257.000
20160308,gww,223.860,225.950,222.050,224.840,575302.000
20160308,hal,35.320,35.510,34.340,34.500,10584431.000
20160308,har,80.270,80.650,77.330,77.420,766822.000
20160308,has,77.890,79.320,77.750,78.590,721009.000
20160308,hban,9.382,9.451,9.223,9.287,10539778.522
20160308,hbi,29.140,29.240,28.533,28.600,2074292.000
20160308,hca,72.250,72.860,71.250,71.490,2455507.000
20160308,hcn,66.700,67.040,65.645,65.850,1958194.000
20160308,hcp,32.470,32.470,31.800,32.080,3717174.000
20160308,hd,125.220,128.200,124.960,126.670,4565540.000
20160308,hes,48.597,48.716,46.298,46.497,5152821.490
20160308,hig,43.310,43.750,43.005,43.250,2293151.000
20160308,hls,35.810,35.980,35.440,35.460,546745.000
20160308,hlt,21.309,21.359,20.851,20.861,5612923.120
20160308,hog,46.720,47.230,46.460,46.850,2360787.000
20160308,hon,107.220,107.770,106.080,107.550,2698832.000
20160308,hot,70.023,70.500,69.257,69.406,3409608.733
20160308,hp,62.270,62.390,60.020,60.700,2045784.000
20160308,hpe,15.770,15.800,15.205,15.230,11478379.000
20160308,hpq,11.260,11.287,10.960,11.050,11216916.000
20160308,hrb,27.820,27.959,27.135,27.671,5830366.168
20160308,hrl,43.300,43.960,43.250,43.690,1429935.000
20160308,hrs,78.750,79.430,77.180,78.160,1330786.000
20160308,hsbc,32.250,32.280,31.860,31.885,3082772.000
20160308,hsic,166.820,168.250,165.270,167.510,354243.000
20160308,hst,16.730,16.850,16.220,16.265,10057256.000
20160308,hsy,91.770,92.620,91.690,92.060,813521.000
20160308,hum,183.830,184.155,182.010,182.580,352816.000
20160308,iac,47.090,47.450,46.680,46.970,514166.000
20160308,ibm,139.390,140.370,137.420,139.030,4880824.000
20160308,ice,230.746,235.150,230.726,232.300,744760.358
20160308,iff,104.757,108.648,104.329,106.618,997976.910
20160308,igt,16.060,16.090,15.775,15.890,222134.000
20160308,ilmn,156.090,157.470,150.100,150.430,1838169.000
20160308,intc,30.870,30.880,30.380,30.560,16449728.000
20160308,intu,98.640,100.250,98.040,99.270,1810383.000
20160308,ip,38.740,38.900,37.770,37.830,3162087.000
20160308,ipg,21.420,21.420,21.100,21.100,2023455.000
20160308,ir,57.675,57.845,56.572,56.880,2106137.688
20160308,irm,30.700,31.050,30.560,30.940,1398841.000
20160308,isrg,568.310,573.660,565.540,566.860,233918.000
20160308,itt,37.142,37.291,35.746,35.846,584209.064
